Date,Open,High,Low,Close,Adj Close,Volume
16-10-2009,537.405945,551.274475,535.177063,549.479004,498.019653,13558587
20-10-2009,555.979858,565.464966,539.349976,541.009277,490.34314,12766230
21-10-2009,539.634827,547.064392,537.071594,540.427307,489.815582,10294432
22-10-2009,540.377747,540.377747,525.270935,528.787598,479.265991,9330283
23-10-2009,531.51178,533.517761,504.61673,507.031342,459.54718,20349990
26-10-2009,507.687622,512.145386,496.295624,499.106476,452.364532,12800230
27-10-2009,495.800293,497.781525,489.113678,493.076141,446.898987,14276274
28-10-2009,491.6026,506.040741,491.6026,503.762329,456.584381,11911448
29-10-2009,495.552643,506.176941,490.451019,495.156403,448.784393,14254259
30-10-2009,495.565033,503.972839,475.988098,478.25412,433.465057,20113836
03-11-2009,475.505188,476.681549,446.331726,450.368469,408.190918,19778827
04-11-2009,458.157135,477.47403,453.872742,475.666168,431.119415,18443831
05-11-2009,472.805786,482.427063,458.404785,480.730652,435.709656,13885278
06-11-2009,477.96933,489.088928,477.96933,484.779785,439.379547,14124763
09-11-2009,489.113678,503.229889,485.795135,501.347717,454.395874,13237039
10-11-2009,505.21109,520.677002,496.543274,508.802063,461.15213,25545273
11-11-2009,512.145386,527.598877,504.13382,523.537415,474.507507,16892900
12-11-2009,526.261536,531.46228,516.107788,520.379822,471.645691,15380135
13-11-2009,517.59375,527.252197,516.132568,524.899475,475.742035,10328544
16-11-2009,532.2052,535.399963,527.908447,533.344421,483.396118,8347446
17-11-2009,534.929382,535.350403,521.803833,528.081787,478.626251,12136493
18-11-2009,535.424683,535.424683,518.609131,520.082642,471.376282,15778411
19-11-2009,519.760681,522.522034,513.358887,516.058289,467.72879,9341036
20-11-2009,515.117188,528.725708,511.402405,525.840576,476.59491,12471430
23-11-2009,534.929382,546.754822,528.255188,543.584839,492.67749,22322641
24-11-2009,542.854309,546.073792,536.935364,539.189026,488.693268,14021703
25-11-2009,541.306458,551.249695,537.381165,543.522949,492.62149,16768697
26-11-2009,550.283875,550.283875,521.704773,526.880676,477.537659,10255018
27-11-2009,520.070251,524.032715,500.753357,518.06427,469.546967,11754339
30-11-2009,526.261536,534.384583,522.051453,526.756897,477.425415,8339974
01-12-2009,532.452881,544.83551,528.589478,543.84491,492.913177,5773985
02-12-2009,547.435852,554.072937,540.476807,545.058411,494.01297,9544294
03-12-2009,547.262512,554.741577,540.922607,544.66217,493.65387,8037150
04-12-2009,540.377747,548.302612,535.078003,539.089966,488.603516,6444249
07-12-2009,538.891846,541.913208,520.070251,522.546753,473.609619,9540083
08-12-2009,525.023315,537.133484,522.621094,535.102783,484.989868,9430385
09-12-2009,529.976379,533.938782,526.088196,530.892639,481.17395,5159531
10-12-2009,531.80896,535.920044,526.013916,530.86792,481.151489,5973929
11-12-2009,534.929382,538.891846,527.252197,530.595459,480.904602,7130309
14-12-2009,528.985718,536.910645,526.509216,528.960999,479.423187,6425693
15-12-2009,528.985718,531.957581,519.079651,520.862732,472.083313,6771900
16-12-2009,520.020752,522.546753,514.176147,518.65863,470.085632,6817782
17-12-2009,522.447693,522.447693,510.164154,512.615906,464.608826,6551637
18-12-2009,512.640686,512.640686,497.781525,499.094086,452.353333,10146047
21-12-2009,495.800293,510.560394,490.351959,503.700409,456.528259,11350303
22-12-2009,504.31955,509.569794,500.901947,504.81485,457.53833,6432979
23-12-2009,507.687622,528.936218,505.904541,528.094177,478.637512,9900762
24-12-2009,532.452881,536.811584,524.206055,533.096802,483.171631,7452103
29-12-2009,534.434082,539.387146,529.976379,535.053223,484.944855,5617498
30-12-2009,534.830322,537.405945,529.728699,532.972961,483.059387,4282664
31-12-2009,536.910645,542.854309,535.598083,540.154846,489.568695,8095690
04-01-2010,540.427307,540.427307,506.127411,532.7005,482.8125,35372156
05-01-2010,569.551208,569.551208,527.697937,530.323059,480.657654,9872785
06-01-2010,534.879883,542.111328,530.298279,538.891846,488.424042,10933743
07-01-2010,538.891846,552.265076,533.938782,547.832092,496.526825,12090336
08-01-2010,548.797974,551.670715,542.854309,546.395691,495.225037,6973331
11-01-2010,562.022583,569.452148,520.070251,535.672363,485.506073,87061779
12-01-2010,542.359009,563.310364,533.443481,537.083984,486.785431,15132815
13-01-2010,538.891846,540.873047,529.282898,539.189026,488.693268,7088719
14-01-2010,537.901245,557.11908,537.901245,555.583618,503.552612,11327803
15-01-2010,557.61438,564.102844,547.336792,550.160034,498.636871,8660790
18-01-2010,548.302612,552.983276,540.848328,544.58783,493.586517,6540464
19-01-2010,544.83551,547.832092,536.241943,537.405945,487.07724,6029341
20-01-2010,542.359009,543.399109,530.96698,533.691162,483.710327,8921264
21-01-2010,532.452881,533.443481,520.194092,522.076233,473.183105,8589121
22-01-2010,515.612488,530.47168,509.916504,521.977173,473.093384,18399797
25-01-2010,519.896912,522.249573,513.482727,516.132568,467.796051,6180995
27-01-2010,512.145386,520.070251,505.21109,508.950653,461.286774,11465264
